tractors	T/RAK/-T/-B/-R/-S | 8/1A3r/-7/-2R/-8/-1
absorbing	A/B/SOR/-B/-NG | 8l/3/7O8/-2R/-2
vascular	VAS/-K/-B/-L/-NK/-R | 1rA1/-3r/-2R/-4/-2r/-8
backbone	BAK/-B/-B/-N | 3A3r/-2R/-2R/-6
trustworthy	T/RUS/-T/-B/-B/-R/-TH/-Y | 8/1U1/-7/-2R/-2R/-8/-7L/-3
crunchy	K/RUN/-CH/-Y | 2/1U6/-2L/-3
mutton	MUT/-B/-N | 3lU7/-2R/-6
averages	AV/-R/-NK/-J/-S | A7r/-8/-2r/-3L/-1
psychologists	S/K/HOL/-B/-J/-S/-T/-S | 7/2/3rO4/-2R/-3L/-1/-7/-1
coupon	KOP/-B/-N | 2O5l/-2R/-6
protector	P/R/W/TEK/-T/-B/-R | 4/1/1l/8E3r/-7/-2R/-8
glasnost	G/LAS/-N/-B/-S/-T | 5l/5A1/-6/-2R/-1/-7
camomile	KAM/-B/-M/-L | 2A5r/-2R/-5r/-4
pretence	P/R/TENSE | 4/1/8E6L
thunderbirds	DSUN/-D/-R/-B/-R/-D/-S | 6rU6/-5/-8/-2R/-8/-5/-1
adjectives	AJ/-K/-T/-V/-S | A3L/-3r/-7/-7r/-1
torches	TOR/-CH/-S | 8O8/-2L/-1
actuarial	AK/-T/-B/-R/-Y/-NK/-L | A3r/-7/-2R/-8/-3/-2r/-4
occupiers	OK/-B/-P/-R/-S | O3r/-2R/-5l/-8/-1
collage	K/W/LAJ | 2/1l/5A3L
carols	KAR/-B/-L/-S | 2A8/-2R/-4/-1
collage	KOL/-NK/-J | 2O4/-2r/-3L
refurbished	R/FUR/-B/-SH/-D | 1/6lU8/-2R/-2l/-5
hangover	HANG/-B/-V/-R | 3rA2/-2R/-7r/-8
navigable	NAV/-G/-NK/-B/-L | 7lA7r/-3l/-2r/-2R/-4
toothpaste	TOTH/-P/-S/-T | 8O7L/-5l/-1/-7
pebbles	PEB/-L/-S | 4E2R/-4/-1
cloths	K/LOTH/-S | 2/5O7L/-1
booth	BOTH | 3O7L
nervously	NER/-V/-B/-S/-L/-Y | 7lE8/-7r/-2R/-1/-4/-3
turbo	TUR/-B/-B | 8U8/-2R/-2R
westward	WES/-T/-B/-NK/-R/-D | 1lE1/-7/-2R/-2r/-8/-5
indulged	N/N/DUL/-J/-D | 7l/7l/6U4/-3L/-5
ventures	VEN/-CH/-R/-S | 1rE6/-2L/-8/-1
industrious	N/N/DUS/-T/-R/-Y/-B/-S | 7l/7l/6U1/-7/-8/-3/-2R/-1
comforted	KOM/-F/-B/-R/-T/-D | 2O5r/-7l/-2R/-8/-7/-5
cutbacks	KUT/-B/-NK/-K/-S | 2U7/-2R/-2r/-3r/-1
murderous	MUR/-D/-R/-B/-S | 3lU8/-5/-8/-2R/-1
perch	PER/-CH | 4E8/-2L
dab	DAB | 6A2R
sergeants	SER/-J/-NK/-N/-T/-S | 7E8/-3L/-2r/-6/-7/-1
legislator	LEJ/-S/-L/-T/-B/-R | 5E3L/-1/-4/-7/-2R/-8
rubble	RUB/-L | 1U2R/-4
crotchet	K/ROCH/-T | 2/1O2L/-7
honorable	HON/-B/-R/-NK/-B/-L | 3rO6/-2R/-8/-2r/-2R/-4
perilous	PER/-L/-B/-S | 4E8/-4/-2R/-1
sabbath	SAB/-NK/-TH | 7A2R/-2r/-7L
emerges	N/MER/-J/-S | 7l/3lE8/-3L/-1
moths	MOTH/-S | 3lO7L/-1
unpredictable	UN/-P/-R/-D/-K/-T/-NK/-B/-L | U6/-5l/-8/-5/-3r/-7/-2r/-2R/-4
rambling	RAM/-B/-L/-NG | 1A5r/-2R/-4/-2
wallop	WAL/-B/-P | 1lA4/-2R/-5l
wallop	WOL/-B/-P | 1lO4/-2R/-5l
improbable	N/M/P/ROB/-NK/-B/-L | 7l/3l/4/1O2R/-2r/-2R/-4
tabs	TAB/-S | 8A2R/-1
sludge	S/LUJ | 7/5U3L
casually	KAS/-B/-NK/-L/-Y | 2A1/-2R/-2r/-4/-3
debs	DEB/-S | 6E2R/-1
psychologically	S/K/H/W/LOJ/-K/-L/-Y | 7/2/3r/1l/5O3L/-3r/-4/-3
incorporates	N/N/KOR/-P/-B/-R/-T/-S | 7l/7l/2O8/-5l/-2R/-8/-7/-1
biologists	BOL/-B/-J/-S/-T/-S | 3O4/-2R/-3L/-1/-7/-1
modules	MOD/-B/-L/-S | 3lO5/-2R/-4/-1
alleyway	AL/-Y/-B | A4/-3/-2R
publicized	PUB/-L/-SE/-ZE/-D | 4U2R/-4/-1r/-1l/-5
democratically	DEM/-B/-K/-R/-NK/-T/-K/-L/-Y | 6E5r/-2R/-3r/-8/-2r/-7/-3r/-4/-3
northward	NOR/-TH/-B/-NK/-R/-D | 7lO8/-7L/-2R/-2r/-8/-5
demo	DEM/-B | 6E5r/-2R
inventor	N/N/VEN/-T/-B/-R | 7l/7l/1rE6/-7/-2R/-8
restorationist	RES/-T/-B/-R/-SH/-N/-S/-T | 1E1/-7/-2R/-8/-2l/-6/-1/-7
restorationist	RES/-T/-B/-R/-T/-N/-S/-T | 1E1/-7/-2R/-8/-7/-6/-1/-7
patchy	PACH/-Y | 4A2L/-3
grumbling	G/RUM/-B/-L/-NG | 5l/1U5r/-2R/-4/-2
bubbling	BUB/-L/-NG | 3U2R/-4/-2
puncture	PUNG/-K/-CH/-R | 4U2/-3r/-2L/-8
landlocked	LAN/-D/-L/-B/-K/-D | 5A6/-5/-4/-2R/-3r/-5
bunches	BUN/-CH/-S | 3U6/-2L/-1
hormones	HOR/-M/-B/-N/-S | 3rO8/-5r/-2R/-6/-1
advocated	AD/-V/-B/-K/-T/-D | A5/-7r/-2R/-3r/-7/-5
presbyteries	P/RES/-B/-T/-R/-Y/-S | 4/1E1/-2R/-7/-8/-3/-1
logically	LOJ/-K/-L/-Y | 5O3L/-3r/-4/-3
lodger	LOJ/-R | 5O3L/-8
muscular	MUS/-K/-B/-L/-NK/-R | 3lU1/-3r/-2R/-4/-2r/-8
forbear	FOR/-B/-R | 6lO8/-2R/-8
strenuous	S/T/REN/-B/-B/-S | 7/8/1E6/-2R/-2R/-1
monuments	MON/-B/-M/-N/-T/-S | 3lO6/-2R/-5r/-6/-7/-1
humbly	HUM/-B/-L/-Y | 3rU5r/-2R/-4/-3
pebble	PEB/-L | 4E2R/-4
comforts	KOM/-F/-B/-R/-T/-S | 2O5r/-7l/-2R/-8/-7/-1
successors	S/K/SESE/-B/-R/-S | 7/2/7E1r/-2R/-8/-1
unprotected	UN/-P/-R/-B/-T/-K/-T/-D | U6/-5l/-8/-2R/-7/-3r/-7/-5
instructors	N/N/S/T/RUK/-T/-B/-R/-S | 7l/7l/7/8/1U3r/-7/-2R/-8/-1
arguably	AR/-G/-B/-NK/-B/-L/-Y | A8/-3l/-2R/-2r/-2R/-4/-3
fathom	FATH/-M | 6lA7L/-5r
allergy	AL/-R/-J/-Y | A4/-8/-3L/-3
mismanagement	M/S/MAN/-NK/-J/-M/-N/-T | 3l/7/3lA6/-2r/-3L/-5r/-6/-7
tumbler	TUM/-B/-L/-R | 8U5r/-2R/-4/-8
cartridge	KAR/-T/-R/-J | 2A8/-7/-8/-3L
touchy	TOCH/-Y | 8O2L/-3
touchy	TUCH/-Y | 8U2L/-3
obsolete	OB/-S/-B/-L/-T | O2R/-1/-2R/-4/-7
perceptible	P/R/SEP/-T/-BL | 4/1/7E5l/-7/-3R
ambulances	AM/-B/-B/-L/-NK/-N/-SE/-S | A5r/-2R/-2R/-4/-2r/-6/-1r/-1
urges	UR/-J/-S | U8/-3L/-1
wanton	WAN/-T/-B/-N | 1lA6/-7/-2R/-6
wanton	WON/-T/-B/-N | 1lO6/-7/-2R/-6
carbonates	KAR/-B/-B/-N/-T/-S | 2A8/-2R/-2R/-6/-7/-1
nervousness	NER/-V/-B/-S/-N/-SE | 7lE8/-7r/-2R/-1/-6/-1r
embassies	EM/-B/-NK/-SE/-Y/-S | E5r/-2R/-2r/-1r/-3/-1
lob	LOB | 5O2R
doubly	DOB/-L/-Y | 6O2R/-4/-3
doubly	DUB/-L/-Y | 6U2R/-4/-3
apologized	A/POL/-B/-J/-ZE/-D | 8l/4O4/-2R/-3L/-1l/-5
ancestor	AN/-SE/-S/-T/-B/-R | A6/-1r/-1/-7/-2R/-8
blackbirds	B/LAK/-B/-R/-D/-S | 3/5A3r/-2R/-8/-5/-1
formulate	FOR/-M/-B/-L/-T | 6lO8/-5r/-2R/-4/-7
subsidize	SUB/-S/-D/-ZE | 7U2R/-1/-5/-1l
tabernacle	TAB/-R/-N/-NK/-K/-L | 8A2R/-8/-6/-2r/-3r/-4
analogous	A/NAL/-B/-G/-B/-S | 8l/7lA4/-2R/-3l/-2R/-1
resolute	RES/-B/-L/-T | 1E1/-2R/-4/-7
retrospect	RET/-R/-B/-S/-P/-K/-T | 1E7/-8/-2R/-1/-5l/-3r/-7
exaggeration	ZAJ/-R/-SH/-N | 4RA3L/-8/-2l/-6
exaggeration	ZAJ/-R/-T/-N | 4RA3L/-8/-7/-6
proverb	P/ROV/-R/-B | 4/1O7r/-8/-2R
merged	MER/-J/-D | 3lE8/-3L/-5
preoccupied	P/ROK/-B/-P/-D | 4/1O3r/-2R/-5l/-5
pathway	PATH/-B | 4A7L/-2R
executors	ZEK/-B/-T/-B/-R/-S | 4RE3r/-2R/-7/-2R/-8/-1
presbyterian	P/RES/-B/-T/-R/-Y/-NK/-N | 4/1E1/-2R/-7/-8/-3/-2r/-6
fracture	F/RAK/-CH/-R | 6l/1A3r/-2L/-8
superbly	S/PER/-B/-L/-Y | 7/4E8/-2R/-4/-3
reformation	REF/-B/-R/-M/-SH/-N | 1E7l/-2R/-8/-5r/-2l/-6
reformation	REF/-B/-R/-M/-T/-N | 1E7l/-2R/-8/-5r/-7/-6
embryo	EM/-B/-R/-B | E5r/-2R/-8/-2R
athlete	ATH/-L/-T | A7L/-4/-7
slab	S/LAB | 7/5A2R
strengthening	S/T/RENG/-TH/-N/-NG | 7/8/1E2/-7L/-6/-2
patronage	PAT/-R/-B/-N/-NK/-J | 4A7/-8/-2R/-6/-2r/-3L
astronomers	A/S/T/RON/-B/-M/-R/-S | 8l/7/8/1O6/-2R/-5r/-8/-1
fourths	FOR/-TH/-S | 6lO8/-7L/-1
comforting	KOM/-F/-B/-R/-T/-NG | 2O5r/-7l/-2R/-8/-7/-2
troubling	T/ROB/-L/-NG | 8/1O2R/-4/-2
troubling	T/RUB/-L/-NG | 8/1U2R/-4/-2
approbation	AP/-R/-B/-B/-SH/-N | A5l/-8/-2R/-2R/-2l/-6
approbation	AP/-R/-B/-B/-T/-N | A5l/-8/-2R/-2R/-7/-6
schoolboy	S/K/HOL/-B | 7/2/3rO4/-2R
treacherous	T/RECH/-R/-B/-S | 8/1E2L/-8/-2R/-1
accessories	A/K/SESE/-B/-R/-Y/-S | 8l/2/7E1r/-2R/-8/-3/-1
budge	BUJ | 3U3L
despotism	DES/-P/-B/-T/-S/-M | 6E1/-5l/-2R/-7/-1/-5r
toothbrush	TOTH/-B/-R/-SH | 8O7L/-2R/-8/-2l
pompous	POM/-P/-B/-S | 4O5r/-5l/-2R/-1
splendor	S/P/LEN/-D/-B/-R | 7/4/5E6/-5/-2R/-8
tortoise	TOR/-T/-B/-SE | 8O8/-7/-2R/-1r
zombie	ZOM/-B/-Y | 4RO5r/-2R/-3
attaching	A/TACH/-NG | 8l/8A2L/-2
pastoral	PAS/-T/-B/-R/-NK/-L | 4A1/-7/-2R/-8/-2r/-4
juncture	JUNG/-K/-CH/-R | 5rU2/-3r/-2L/-8
memos	MEM/-B/-S | 3lE5r/-2R/-1
ledger	LEJ/-R | 5E3L/-8
schoolchildren	S/K/HOL/-CH/-L/-D/-R/-N | 7/2/3rO4/-2L/-4/-5/-8/-6
hob	HOB | 3rO2R
thermostat	DSER/-M/-B/-S/-T/-NK/-T | 6rE8/-5r/-2R/-1/-7/-2r/-7
corresponds	KOR/-S/-P/-B/-N/-D/-S | 2O8/-1/-5l/-2R/-6/-5/-1
orgy	OR/-J/-Y | O8/-3L/-3
cub	KUB | 2U2R
mythology	M/DSOL/-B/-J/-Y | 3l/6rO4/-2R/-3L/-3
legends	LEJ/-N/-D/-S | 5E3L/-6/-5/-1
abominable	A/BOM/-N/-NK/-B/-L | 8l/3O5r/-6/-2r/-2R/-4
bookshop	BOK/-SH/-B/-P | 3O3r/-2l/-2R/-5l
parables	PAR/-NK/-B/-L/-S | 4A8/-2r/-2R/-4/-1
ghetto	G/HET/-B | 5l/3rE7/-2R
justifiable	JUS/-T/-F/-NK/-B/-L | 5rU1/-7/-7l/-2r/-2R/-4
underwater	UN/-D/-R/-B/-T/-R | U6/-5/-8/-2R/-7/-8
rabble	RAB/-L | 1A2R/-4
canopy	KAN/-B/-P/-Y | 2A6/-2R/-5l/-3
masculine	MAS/-K/-B/-L/-N | 3lA1/-3r/-2R/-4/-6
admirably	AD/-M/-R/-NK/-B/-L/-Y | A5/-5r/-8/-2r/-2R/-4/-3
galloped	GAL/-B/-P/-D | 5lA4/-2R/-5l/-5
gathers	GATH/-R/-S | 5lA7L/-8/-1
grubby	G/RUB/-Y | 5l/1U2R/-3
autonomy	TON/-B/-M/-Y | 8O6/-2R/-5r/-3
slob	S/LOB | 7/5O2R
subsidised	SUB/-S/-D/-S/-D | 7U2R/-1/-5/-1/-5
subsidised	SUB/-S/-D/-SE/-D | 7U2R/-1/-5/-1r/-5
assessor	A/SESE/-B/-R | 8l/7E1r/-2R/-8
reputable	REP/-B/-T/-NK/-B/-L | 1E5l/-2R/-7/-2r/-2R/-4
cabbages	KAB/-NK/-J/-S | 2A2R/-2r/-3L/-1
pushbike	PUSH/-B/-K | 4U2l/-2R/-3r
clutching	K/LUCH/-NG | 2/5U2L/-2
robbing	ROB/-NG | 1O2R/-2
regularity	REG/-B/-L/-NK/-R/-T/-Y | 1E3l/-2R/-4/-2r/-8/-7/-3
dodge	DOJ | 6O3L
personage	PER/-S/-N/-NK/-J | 4E8/-1/-6/-2r/-3L
surrogate	SUR/-B/-G/-NK/-T | 7U8/-2R/-3l/-2r/-7
waggons	WAG/-B/-N/-S | 1lA3l/-2R/-6/-1
presbytery	P/RES/-B/-T/-R/-Y | 4/1E1/-2R/-7/-8/-3
elevator	EL/-V/-T/-B/-R | E4/-7r/-7/-2R/-8
fourthly	FOR/-TH/-L/-Y | 6lO8/-7L/-4/-3
opposites	OP/-B/-S/-T/-S | O5l/-2R/-1/-7/-1
casts	KAST/-S | 2A1L/-1
prejudicial	P/REJ/-D/-SH/-NK/-L | 4/1E3L/-5/-2l/-2r/-4
surgical	SUR/-J/-K/-L | 7U8/-3L/-3r/-4
collaborative	K/W/LAB/-B/-R/-NK/-T/-V | 2/1l/5A2R/-2R/-8/-2r/-7/-7r
clenched	K/LEN/-CH/-D | 2/5E6/-2L/-5
averaged	AV/-R/-NK/-J/-D | A7r/-8/-2r/-3L/-5
surrogacy	SUR/-B/-G/-NK/-SE/-Y | 7U8/-2R/-3l/-2r/-1r/-3
upbringing	UP/-B/-R/-NG/-NG | U5l/-2R/-8/-2/-2
receptor	R/SEP/-T/-B/-R | 1/7E5l/-7/-2R/-8
amorous	AM/-B/-R/-B/-S | A5r/-2R/-8/-2R/-1
workable	WOR/-K/-NK/-B/-L | 1lO8/-3r/-2r/-2R/-4
mammoth	MAM/-B/-TH | 3lA5r/-2R/-7L
perpetually	P/R/PET/-B/-NK/-L/-Y | 4/1/4E7/-2R/-2r/-4/-3
farthing	FAR/-TH/-NG | 6lA8/-7L/-2
forwarded	FOR/-B/-NK/-R/-D/-D | 6lO8/-2R/-2r/-8/-5/-5
boroughs	BOR/-B/-G/-S | 3O8/-2R/-3l/-1
semblance	SEM/-B/-L/-NK/-N/-SE | 7E5r/-2R/-4/-2r/-6/-1r
practicable	P/RAK/-T/-K/-NK/-B/-L | 4/1A3r/-7/-3r/-2r/-2R/-4
animosity	AN/-M/-B/-S/-T/-Y | A6/-5r/-2R/-1/-7/-3
regulating	REG/-B/-L/-T/-NG | 1E3l/-2R/-4/-7/-2
patched	PACH/-D | 4A2L/-5
detectors	D/TEK/-T/-B/-R/-S | 6/8E3r/-7/-2R/-8/-1
skeletons	S/KEL/-T/-B/-N/-S | 7/2E4/-7/-2R/-6/-1
habitat	HAB/-T/-NK/-T | 3rA2R/-7/-2r/-7
anaerobic	AN/-R/-B/-B/-K | A6/-8/-2R/-2R/-3r
obstinate	OB/-S/-T/-N/-NK/-T | O2R/-1/-7/-6/-2r/-7
verges	VER/-J/-S | 1rE8/-3L/-1
bandaged	BAN/-D/-NK/-J/-D | 3A6/-5/-2r/-3L/-5
effectually	N/FEK/-T/-B/-NK/-L/-Y | 7l/6lE3r/-7/-2R/-2r/-4/-3
gramophone	G/RAM/-B/-F/-B/-N | 5l/1A5r/-2R/-7l/-2R/-6
charcoal	CHAR/-K/-B/-L | 8RA8/-3r/-2R/-4
redevelopment	R/D/VEL/-B/-P/-M/-N/-T | 1/6/1rE4/-2R/-5l/-5r/-6/-7
bubbly	BUB/-L/-Y | 3U2R/-4/-3
punched	PUN/-CH/-D | 4U6/-2L/-5
benevolence	B/NEV/-B/-L/-N/-SE | 3/7lE7r/-2R/-4/-6/-1r
infectious	N/N/FEK/-SH/-B/-S | 7l/7l/6lE3r/-2l/-2R/-1
infectious	N/N/FEK/-T/-B/-S | 7l/7l/6lE3r/-7/-2R/-1
pianos	P/YAN/-B/-S | 4/4lA6/-2R/-1
labs	LAB/-S | 5A2R/-1
quango	KWANG/-G/-B | 2LA2/-3l/-2R
tangent	TAN/-J/-N/-T | 8A6/-3L/-6/-7
undercover	UN/-D/-R/-K/-B/-V/-R | U6/-5/-8/-3r/-2R/-7r/-8
tolerably	TOL/-R/-NK/-B/-L/-Y | 8O4/-8/-2r/-2R/-4/-3
cob	KOB | 2O2R
wedged	WEJ/-D | 1lE3L/-5
bicarbonate	B/KAR/-B/-B/-N/-NK/-T | 3/2A8/-2R/-2R/-6/-2r/-7
honors	HON/-B/-R/-S | 3rO6/-2R/-8/-1
preamble	P/RAM/-B/-L | 4/1A5r/-2R/-4
developmental	D/VEL/-B/-P/-M/-N/-T/-L | 6/1rE4/-2R/-5l/-5r/-6/-7/-4
suburb	SUB/-R/-B | 7U2R/-8/-2R
edged	EJ/-D | E3L/-5
misogyny	M/SOJ/-Y/-N/-Y | 3l/7O3L/-3/-6/-3
methane	METH/-N | 3lE7L/-6
petticoat	PET/-K/-B/-T | 4E7/-3r/-2R/-7
abandoning	A/BAN/-D/-B/-N/-NG | 8l/3A6/-5/-2R/-6/-2
undisturbed	UN/-D/-S/-T/-R/-B/-D | U6/-5/-1/-7/-8/-2R/-5
unreliable	UN/-R/-L/-NK/-B/-L | U6/-8/-4/-2r/-2R/-4
hub	HUB | 3rU2R
hundredths	HUN/-D/-R/-D/-TH/-S | 3rU6/-5/-8/-5/-7L/-1
zealous	ZEL/-B/-S | 4RE4/-2R/-1
regimental	REJ/-M/-N/-T/-L | 1E3L/-5r/-6/-7/-4
proverbs	P/ROV/-R/-B/-S | 4/1O7r/-8/-2R/-1
dub	DUB | 6U2R
ramble	RAM/-B/-L | 1A5r/-2R/-4
identifiable	DEN/-T/-F/-NK/-B/-L | 6E6/-7/-7l/-2r/-2R/-4
sobbing	SOB/-NG | 7O2R/-2
regrettable	R/G/RET/-NK/-B/-L | 1/5l/1E7/-2r/-2R/-4
stubby	S/TUB/-Y | 7/8U2R/-3
inseparable	N/N/SEP/-NK/-R/-NK/-B/-L | 7l/7l/7E5l/-2r/-8/-2r/-2R/-4
epoch	EP/-B/-K | E5l/-2R/-3r
momentous	M/W/MEN/-T/-B/-S | 3l/1l/3lE6/-7/-2R/-1
registering	REJ/-S/-T/-R/-NG | 1E3L/-1/-7/-8/-2
imaginable	N/MAJ/-N/-NK/-B/-L | 7l/3lA3L/-6/-2r/-2R/-4
altitude	AL/-T/-T/-B/-D | A4/-7/-7/-2R/-5
orator	OR/-NK/-T/-B/-R | O8/-2r/-7/-2R/-8
cerebral	SER/-B/-R/-NK/-L | 7E8/-2R/-8/-2r/-4
negligent	NEG/-L/-J/-N/-T | 7lE3l/-4/-3L/-6/-7
temporal	TEM/-P/-B/-R/-NK/-L | 8E5r/-5l/-2R/-8/-2r/-4
cartridges	KAR/-T/-R/-J/-S | 2A8/-7/-8/-3L/-1
grudge	G/RUJ | 5l/1U3L
deadwood	DED/-B/-B/-D | 6E5/-2R/-2R/-5
sob	SOB | 7O2R
avenge	A/VEN/-J | 8l/1rE6/-3L
apathy	AP/-NK/-TH/-Y | A5l/-2r/-7L/-3
averaging	AV/-R/-NK/-J/-NG | A7r/-8/-2r/-3L/-2
unofficial	UN/-B/-F/-SH/-NK/-L | U6/-2R/-7l/-2l/-2r/-4
laborious	L/A/BOR/-B/-S | 5/8l/3O8/-2R/-1
lunches	LUN/-CH/-S | 5U6/-2L/-1
sobs	SOB/-S | 7O2R/-1
regiments	REJ/-M/-N/-T/-S | 1E3L/-5r/-6/-7/-1
rapture	RAP/-CH/-R | 1A5l/-2L/-8
biologist	BOL/-B/-J/-S/-T | 3O4/-2R/-3L/-1/-7
cornerstone	KOR/-N/-R/-S/-T/-B/-N | 2O8/-6/-8/-1/-7/-2R/-6
ombudsman	OM/-B/-D/-S/-M/-NK/-N | O5r/-2R/-5/-1/-5r/-2r/-6
rubbers	RUB/-R/-S | 1U2R/-8/-1
numbering	NUM/-B/-R/-NG | 7lU5r/-2R/-8/-2
turbulent	TUR/-B/-B/-L/-N/-T | 8U8/-2R/-2R/-4/-6/-7
bulging	BUL/-J/-NG | 3U4/-3L/-2
lodgers	LOJ/-R/-S | 5O3L/-8/-1
sobbed	SOB/-D | 7O2R/-5
punching	PUN/-CH/-NG | 4U6/-2L/-2
watchful	WACH/-F/-L | 1lA2L/-7l/-4
watchful	WOCH/-F/-L | 1lO2L/-7l/-4
ambush	AM/-B/-SH | A5r/-2R/-2l
insensible	N/N/SEN/-S/-B/-L | 7l/7l/7E6/-1/-2R/-4
cartons	KAR/-T/-B/-N/-S | 2A8/-7/-2R/-6/-1
porno	POR/-N/-B | 4O8/-6/-2R
bulldozers	BUL/-D/-B/-ZE/-R/-S | 3U4/-5/-2R/-1l/-8/-1
lumbered	LUM/-B/-R/-D | 5U5r/-2R/-8/-5
nostalgia	N/W/S/TAL/-J/-NK | 7l/1l/7/8A4/-3L/-2r
pledges	P/LEJ/-S | 4/5E3L/-1
verbs	VER/-B/-S | 1rE8/-2R/-1
salvage	SAL/-V/-NK/-J | 7A4/-7r/-2r/-3L
effectual	N/FEK/-T/-B/-NK/-L | 7l/6lE3r/-7/-2R/-2r/-4
chariots	CHAR/-B/-T/-S | 8RA8/-2R/-7/-1
registry	REJ/-S/-T/-R/-Y | 1E3L/-1/-7/-8/-3
watchdog	WACH/-D/-B/-G | 1lA2L/-5/-2R/-3l
watchdog	WOCH/-D/-B/-G | 1lO2L/-5/-2R/-3l
wobble	WOB/-L | 1lO2R/-4
crutches	K/RUCH/-S | 2/1U2L/-1
celebrities	S/LEB/-R/-T/-Y/-S | 7/5E2R/-8/-7/-3/-1
inhabit	N/N/HAB/-T | 7l/7l/3rA2R/-7
geological	J/W/LOJ/-K/-L | 5r/1l/5O3L/-3r/-4
branching	B/RAN/-CH/-NG | 3/1A6/-2L/-2
polygon	POL/-Y/-G/-B/-N | 4O4/-3/-3l/-2R/-6
alphabetical	AL/-F/-NK/-B/-T/-K/-L | A4/-7l/-2r/-2R/-7/-3r/-4
catastrophic	KAT/-NK/-S/-T/-R/-B/-F/-K | 2A7/-2r/-1/-7/-8/-2R/-7l/-3r
berth	BER/-TH | 3E8/-7L
detachment	D/TACH/-M/-N/-T | 6/8A2L/-5r/-6/-7
stereotypes	S/TER/-B/-T/-P/-S | 7/8E8/-2R/-7/-5l/-1
hatched	HACH/-D | 3rA2L/-5
populous	POP/-B/-L/-B/-S | 4O5l/-2R/-4/-2R/-1
forsooth	F/W/R/SOTH | 6l/1l/1/7O7L
aristocratic	AR/-S/-T/-B/-K/-R/-NK/-T/-K | A8/-1/-7/-2R/-3r/-8/-2r/-7/-3r
edgy	EJ/-Y | E3L/-3
canton	KAN/-T/-B/-N | 2A6/-7/-2R/-6
cobwebs	KOB/-B/-B/-S | 2O2R/-2R/-2R/-1
flammable	F/LAM/-NK/-B/-L | 6l/5A5r/-2r/-2R/-4
atmospheric	AT/-M/-B/-S/-F/-R/-K | A7/-5r/-2R/-1/-7l/-8/-3r
etching	ECH/-NG | E2L/-2
resolutely	RES/-B/-L/-T/-L/-Y | 1E1/-2R/-4/-7/-4/-3
ventilator	VEN/-T/-L/-T/-B/-R | 1rE6/-7/-4/-7/-2R/-8
abo	AB/-B | A2R/-2R
researching	RESE/-NK/-R/-CH/-NG | 1E1r/-2r/-8/-2L/-2
exorbitant	ZOR/-B/-T/-NK/-N/-T | 4RO8/-2R/-7/-2r/-6/-7
facto	FAK/-T/-B | 6lA3r/-7/-2R
crossbar	K/ROSE/-B/-NK/-R | 2/1O1r/-2R/-2r/-8
turntable	TUR/-N/-T/-B/-L | 8U8/-6/-7/-2R/-4
researched	RESE/-NK/-R/-CH/-D | 1E1r/-2r/-8/-2L/-5
fortitude	FOR/-T/-T/-B/-D | 6lO8/-7/-7/-2R/-5
actuality	AK/-T/-B/-NK/-L/-T/-Y | A3r/-7/-2R/-2r/-4/-7/-3
crescendo	K/R/SHEN/-D/-B | 2/1/5RE6/-5/-2R
penguins	PENG/-G/-B/-N/-S | 4E2/-3l/-2R/-6/-1
unwelcome	N/WEL/-K/-B/-M | 7l/1lE4/-3r/-2R/-5r
outstretched	T/S/T/RECH/-D | 8/7/8/1E2L/-5
extractor	Z/T/RAK/-T/-B/-R | 4R/8/1A3r/-7/-2R/-8
uppermost	UP/-R/-M/-B/-S/-T | U5l/-8/-5r/-2R/-1/-7
carbons	KAR/-B/-B/-N/-S | 2A8/-2R/-2R/-6/-1
blob	B/LOB | 3/5O2R
deadlock	DED/-L/-B/-K | 6E5/-4/-2R/-3r
saffron	SAF/-R/-B/-N | 7A7l/-8/-2R/-6
autonomous	TON/-B/-M/-B/-S | 8O6/-2R/-5r/-2R/-1
archer	AR/-CH/-R | A8/-2L/-8
synonymous	S/GRON/-Y/-M/-B/-S | 7/5LO6/-3/-5r/-2R/-1
synonymous	S/NON/-Y/-M/-B/-S | 7/7lO6/-3/-5r/-2R/-1
censors	SEN/-S/-B/-R/-S | 7E6/-1/-2R/-8/-1
anchors	ANG/-K/-B/-R/-S | A2/-3r/-2R/-8/-1
registrar	REJ/-S/-T/-R/-NK/-R | 1E3L/-1/-7/-8/-2r/-8
pensionable	PEN/-SH/-N/-NK/-B/-L | 4E6/-2l/-6/-2r/-2R/-4
abdomen	AB/-D/-B/-M/-N | A2R/-5/-2R/-5r/-6
anorak	AN/-B/-R/-NK/-K | A6/-2R/-8/-2r/-3r
emulator	EM/-B/-L/-T/-B/-R | E5r/-2R/-4/-7/-2R/-8
bullock	BUL/-B/-K | 3U4/-2R/-3r
uneducated	NED/-B/-K/-T/-D | 7lE5/-2R/-3r/-7/-5
tragedies	T/RAJ/-D/-Y/-S | 8/1A3L/-5/-3/-1
forefathers	FOR/-F/-NK/-TH/-R/-S | 6lO8/-7l/-2r/-7L/-8/-1
trebled	T/REB/-L/-D | 8/1E2R/-4/-5
vector	VEK/-T/-B/-R | 1rE3r/-7/-2R/-8
contractual	K/W/N/T/RAK/-T/-B/-NK/-L | 2/1l/7l/8/1A3r/-7/-2R/-2r/-4
perishable	PER/-SH/-NK/-B/-L | 4E8/-2l/-2r/-2R/-4
lesbians	LES/-B/-NK/-N/-S | 5E1/-2R/-2r/-6/-1
