you	YO | 4lO
harry	HAR/-Y | 3rA8/-3
threatened	DS/RET/-N/-D | 6r/1E7/-6/-5
begun	B/GUN | 3/5lU6
nurses	NUR/-S/-S | 7lU8/-1/-1
desert	DSER/-T | 6rE8/-7
gentle	JEN/-T/-L | 5rE6/-7/-4
recommended	R/K/W/MEN/-D/-D | 1/2/1l/3lE6/-5/-5
recommended	R/K/MEN/-D/-D | 1/2/3lE6/-5/-5
mud	MUD | 3lU5
worrying	WOR/-NG | 1lO8/-2
worrying	WOR/-Y/-NG | 1lO8/-3/-2
piano	P/YAN | 4/4lA6
headed	HED/-D | 3rE5/-5
nanny	NAN/-Y | 7lA6/-3
concert	K/W/N/SER/-T | 2/1l/7l/7E8/-7
concert	K/N/SER/-T | 2/7l/7E8/-7
concert	KN/SER/-T | 2r/7E8/-7
consent	K/W/N/SEN/-T | 2/1l/7l/7E6/-7
consent	K/N/SEN/-T | 2/7l/7E6/-7
consent	KN/SEN/-T | 2r/7E6/-7
consent	KNEN/-T | 2rE6/-7
plot	PLOT | 4rO7
defend	D/FEN/-D | 6/6lE6/-5
referring	R/FER/-NG | 1/6lE8/-2
hunt	HUN/-T | 3rU6/-7
horror	HOR/-R | 3rO8/-8
regarding	R/GAR/-D/-NG | 1/5lA8/-5/-2
grants	G/RAN/-T/-S | 5l/1A6/-7/-1
invest	N/VES/-T | 7l/1rE1/-7
invest	N/N/VES/-T | 7l/7l/1rE1/-7
arrested	A/RES/-T/-D | 8l/1E1/-7/-5
primarily	P/R/MAR/-L | 4/1/3lA8/-4
primarily	P/R/MAR/-L/-Y | 4/1/3lA8/-4/-3
genuine	JEN/-N | 5rE6/-6
gang	GANG | 5lA2
gently	JEN/-T/-L/-Y | 5rE6/-7/-4/-3
cigarettes	S/G/RET/-S | 7/5l/1E7/-1
cigarettes	S/G/A/RET/-S | 7/5l/8l/1E7/-1
studying	STUD/-Y/-NG | 7rU5/-3/-2
glen	G/LEN | 5l/5E6
differentiate	D/F/REN/-T/-T | 6/6l/1E6/-7/-7
apparent	A/PAR/-N/-T | 8l/4A8/-6/-7
protest	P/R/W/TES/-T | 4/1/1l/8E1/-7
contrast	K/W/N/T/RAS/-T | 2/1l/7l/8/1A1/-7
contrast	K/W/N/TRAS/-T | 2/1l/7l/8rA1/-7
contrast	K/N/T/RAS/-T | 2/7l/8/1A1/-7
contrast	K/N/TRAS/-T | 2/7l/8rA1/-7
contrast	KN/RAS/-T | 2r/1A1/-7
contrast	KN/T/RAS/-T | 2r/8/1A1/-7
contrast	KN/TRAS/-T | 2r/8rA1/-7
universities	Y/N/VER/-S/-T/-S | 4l/7l/1rE8/-1/-7/-1
universities	Y/N/VER/-S/-T/-Y/-S | 4l/7l/1rE8/-1/-7/-3/-1
valid	VAL/-D | 1rA4/-5
honey	HON | 3rO6
honey	HON/-Y | 3rO6/-3
fortunate	FOR/-T/-N/-T | 6lO8/-7/-6/-7
fans	FAN/-S | 6lA6/-1
cigarette	S/G/RET | 7/5l/1E7
cigarette	S/G/A/RET | 7/5l/8l/1E7
handling	HAN/-D/-L/-NG | 3rA6/-5/-4/-2
hurts	HUR/-T/-S | 3rU8/-7/-1
refers	R/FER/-S | 1/6lE8/-1
minority	M/NOR/-T | 3l/7lO8/-7
minority	M/NOR/-T/-Y | 3l/7lO8/-7/-3
preferred	P/R/FER/-D | 4/1/6lE8/-5
smells	S/MEL/-S | 7/3lE4/-1
accordingly	A/KOR/-D/-NG/-L | 8l/2O8/-5/-2/-4
accordingly	A/KOR/-D/-NG/-L/-Y | 8l/2O8/-5/-2/-4/-3
worries	WOR/-S | 1lO8/-1
worries	WOR/-Y/-S | 1lO8/-3/-1
funded	FUN/-D/-D | 6lU6/-5/-5
monitor	MON/-T/-R | 3lO6/-7/-8
regret	R/G/RET | 1/5l/1E7
consultants	K/W/N/SUL/-T/-N/-T/-S | 2/1l/7l/7U4/-7/-6/-7/-1
consultants	K/N/SUL/-T/-N/-T/-S | 2/7l/7U4/-7/-6/-7/-1
consultants	KN/SUL/-T/-N/-T/-S | 2r/7U4/-7/-6/-7/-1
consultants	KNUL/-T/-N/-T/-S | 2rU4/-7/-6/-7/-1
fond	FON/-D | 6lO6/-5
fortunately	FOR/-T/-N/-T/-L | 6lO8/-7/-6/-7/-4
fortunately	FOR/-T/-N/-T/-L/-Y | 6lO8/-7/-6/-7/-4/-3
ford	FOR/-D | 6lO8/-5
nest	NES/-T | 7lE1/-7
fan	FAN | 6lA6
volunteers	VOL/-N/-T/-R/-S | 1rO4/-6/-7/-8/-1
commander	K/W/MAN/-D/-R | 2/1l/3lA6/-5/-8
commander	K/MAN/-D/-R | 2/3lA6/-5/-8
wording	WOR/-D/-NG | 1lO8/-5/-2
honor	HON/-R | 3rO6/-8
moderate	MOD/-R/-T | 3lO5/-8/-7
splendid	S/PLEN/-D/-D | 7/4rE6/-5/-5
twenties	T/WEN/-T/-S | 8/1lE6/-7/-1
twenties	T/WEN/-T/-Y/-S | 8/1lE6/-7/-3/-1
nuts	NUT/-S | 7lU7/-1
holland	HOL/-N/-D | 3rO4/-6/-5
monster	MON/-S/-T/-R | 3lO6/-1/-7/-8
scenario	S/NAR | 7/7lA8
wounded	WON/-D/-D | 1lO6/-5/-5
categories	K/T/GOR/-S | 2/8/5lO8/-1
categories	K/T/GOR/-Y/-S | 2/8/5lO8/-3/-1
categories	K/A/T/GOR/-S | 2/8l/8/5lO8/-1
categories	K/A/T/GOR/-Y/-S | 2/8l/8/5lO8/-3/-1
moderator	MOD/-R/-T/-R | 3lO5/-8/-7/-8
frost	F/ROS/-T | 6l/1O1/-7
modest	MOD/-S/-T | 3lO5/-1/-7
merit	MER/-T | 3lE8/-7
trend	TREN/-D | 8rE6/-5
mornings	MOR/-N/-NG/-S | 3lO8/-6/-2/-1
trolley	TROL | 8rO4
trolley	TROL/-Y | 8rO4/-3
consultant	K/W/N/SUL/-T/-N/-T | 2/1l/7l/7U4/-7/-6/-7
consultant	K/N/SUL/-T/-N/-T | 2/7l/7U4/-7/-6/-7
consultant	KN/SUL/-T/-N/-T | 2r/7U4/-7/-6/-7
consultant	KNUL/-T/-N/-T | 2rU4/-7/-6/-7
woo	WO | 1lO
fled	F/LED | 6l/5E5
demanded	D/KNAN/-D/-D | 6/2rA6/-5/-5
demanded	D/MAN/-D/-D | 6/3lA6/-5/-5
fours	FOR/-S | 6lO8/-1
horn	HOR/-N | 3rO8/-6
compulsory	K/W/M/PUL/-S/-R | 2/1l/3l/4U4/-1/-8
compulsory	K/W/M/PUL/-S/-R/-Y | 2/1l/3l/4U4/-1/-8/-3
compulsory	K/M/PUL/-S/-R | 2/3l/4U4/-1/-8
compulsory	K/M/PUL/-S/-R/-Y | 2/3l/4U4/-1/-8/-3
studied	STUD/-Y/-D | 7rU5/-3/-5
contents	K/W/N/TEN/-T/-S | 2/1l/7l/8E6/-7/-1
contents	K/N/TEN/-T/-S | 2/7l/8E6/-7/-1
contents	KN/TEN/-T/-S | 2r/8E6/-7/-1
youngest	YONG/-S/-T | 4lO2/-1/-7
youngest	YUNG/-S/-T | 4lU2/-1/-7
combat	K/W/M/BAT | 2/1l/3l/3A7
combat	K/M/BAT | 2/3l/3A7
wandering	WAN/-D/-R/-NG | 1lA6/-5/-8/-2
category	K/T/GOR | 2/8/5lO8
category	K/T/GOR/-Y | 2/8/5lO8/-3
category	K/A/T/GOR | 2/8l/8/5lO8
category	K/A/T/GOR/-Y | 2/8l/8/5lO8/-3
defendant	D/FEN/-D/-N/-T | 6/6lE6/-5/-6/-7
banana	B/NAN | 3/7lA6
banana	B/A/NAN | 3/8l/7lA6
chorus	K/HOR/-S | 2/3rO8/-1
hut	HUT | 3rU7
thrust	DS/RUS/-T | 6r/1U1/-7
attending	A/TEN/-D/-NG | 8l/8E6/-5/-2
forgetting	F/R/GET/-NG | 6l/1/5lE7/-2
forgetting	F/W/R/GET/-NG | 6l/1l/1/5lE7/-2
mortality	M/R/TAL/-T | 3l/1/8A4/-7
mortality	M/R/TAL/-T/-Y | 3l/1/8A4/-7/-3
threatening	DS/RET/-N/-NG | 6r/1E7/-6/-2
flood	F/LOD | 6l/5O5
amen	F/MEN | 6l/3lE6
jungle	JUNG/-L | 5rU2/-4
converted	K/W/N/VER/-T/-D | 2/1l/7l/1rE8/-7/-5
converted	K/N/VER/-T/-D | 2/7l/1rE8/-7/-5
converted	KN/VER/-T/-D | 2r/1rE8/-7/-5
masters	MAS/-T/-R/-S | 3lA1/-7/-8/-1
bananas	B/NAN/-S | 3/7lA6/-1
bananas	B/A/NAN/-S | 3/8l/7lA6/-1
occurs	W/KUR/-S | 1l/2U8/-1
gallery	GAL/-R | 5lA4/-8
gallery	GAL/-R/-Y | 5lA4/-8/-3
abandoned	A/BAN/-D/-N/-D | 8l/3A6/-5/-6/-5
parental	P/A/REN/-T/-L | 4/8l/1E6/-7/-4
jar	JAR | 5rA8
commanded	K/W/MAN/-D/-D | 2/1l/3lA6/-5/-5
commanded	K/MAN/-D/-D | 2/3lA6/-5/-5
volunteer	VOL/-N/-T/-R | 1rO4/-6/-7/-8
models	MOD/-L/-S | 3lO5/-4/-1
jelly	JEL/-Y | 5rE4/-3
val	VAL | 1rA4
alas	A/LAS | 8l/5A1
arrest	A/RES/-T | 8l/1E1/-7
hotels	H/W/TEL/-S | 3r/1l/8E4/-1
hotels	H/TEL/-S | 3r/8E4/-1
generated	JEN/-R/-T/-D | 5rE6/-8/-7/-5
headlines	HED/-L/-N/-S | 3rE5/-4/-6/-1
restore	R/STOR | 1/7rO8
handled	HAN/-D/-L/-D | 3rA6/-5/-4/-5
alongside	A/LONG/-S/-D | 8l/5O2/-1/-5
ignored	G/NOR/-D | 5l/7lO8/-5
ignored	N/G/NOR/-D | 7l/5l/7lO8/-5
investors	N/VES/-T/-R/-S | 7l/1rE1/-7/-8/-1
investors	N/N/VES/-T/-R/-S | 7l/7l/1rE1/-7/-8/-1
inland	N/LAN/-D | 7l/5A6/-5
inland	N/N/LAN/-D | 7l/7l/5A6/-5
manners	MAN/-R/-S | 3lA6/-8/-1
amended	A/MEN/-D/-D | 8l/3lE6/-5/-5
vat	VAT | 1rA7
holly	HOL | 3rO4
holly	HOL/-Y | 3rO4/-3
hats	HAT/-S | 3rA7/-1
generate	JEN/-R/-T | 5rE6/-8/-7
